ID	Name	Desc	EndDesc

5001	Tribute from Sunshade Abode	It is the time of the year that Sunshade Abode offers their tribute. You can send disciples to collect it.	
5002	Tribute from Kunlun Palace	It is the time of the year that Kunlun Palace offers their tribute. You can send disciples to collect it.	
5003	Tribute from Skydome Palace	It is the time of the year that Skydome Palace offers their tribute. You can send disciples to collect it.	
5004	Tribute from Purple Cloud Temple	It is the time of the year that Purple Cloud Temple offers their tribute. You can send disciples to collect it.	
5005	Tribute from Mystic Unity Sect	It is the time of the year that Mystic Unity Sect offers their tribute. You can send disciples to collect it.	
5006	Tribute from Blue Lotus Temple	It is the time of the year that Blue Lotus Temple offers their tribute. You can send disciples to collect it.	
5007	Tribute from Evenfall Abode	It is the time of the year that Evenfall Abode offers their tribute. You can send disciples to collect it.	
5008	Tribute from Mt. Hundred Insects	It is the time of the year that Mt. Hundred Insects offers their tribute. You can send disciples to collect it.	
5009	Tribute from Pit of Doom	It is the time of the year that Pit of Doom offers their tribute. You can send disciples to collect it.	
5010	Tribute from Seven-Slaughtering Sect	It is the time of the year that Seven-Slaughtering Sect offers their tribute. You can send disciples to collect it.	
5011	Tribute from Exultant Sect	It is the time of the year that Exultant Sect offers their tribute. You can send disciples to collect it.	
5012	Tribute from Daemonia Temple	It is the time of the year that Daemonia Temple offers their tribute. You can send disciples to collect it.	
